2027 GKS-U Available Departments,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,Source_File,Sheet_Name,2027 GKS-Korea University Available Departments for Undergraduate Degrees,__EMPTY_17
No.,대학명,"University
(대학알리미 공시 명칭)",Campus Location,"Application
Track",Embassy Track Type,"모집단위
(학과, 학부 등)","Department
(대학알리미 공시 명칭)",학과계열,"Field of Study
(Division)",Degree Program,"Period
(years)",Medium of Instruction,Required TOPIK for Admission after Language Program,Program starts,Website URL for detailed information,Telephone for detailed information,Remarks,available departments (1).xlsx,Seoul National University,,
1,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,인문계열,College of Humanities,인문,Humanities,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,Korean / English / Major Language,available departments (1).xlsx,Seoul National University,,
2,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,정치외교학부,Political Science and International Relations ,사회,Social Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://psir.snu.ac.kr,02)880-6347,"Most of courses are taught in Korean, so those who are not fluent in Korean may have diffculty in taking courses. (More than 90% of courses)",available departments (1).xlsx,Seoul National University,,
3,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,사회학과,Sociology,사회,Social Sciences,Bachelor's,4,Korean 90%,TOPIK 3 or above,March or September,https://sociology.snu.ac.kr/en,,1~2 english class may be offered in a semester,available departments (1).xlsx,Seoul National University,,
4,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,인류학과,Anthropology,사회,Social Sciences,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,https://www.anthropology.or.kr,,Only 1 course taught in English in each semester by Prof. Fedorenko,available departments (1).xlsx,Seoul National University,,
5,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,심리학과,Psychology,사회,Social Sciences,Bachelor's,4,Korean 90%,TOPIK 3 or above,March or September,http://psych.snu.ac.kr,,,available departments (1).xlsx,Seoul National University,,
5,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,지리학과,Geography,사회,Social Sciences,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,https://geog.snu.ac.kr/,,"Most of courses are Korean, only 0~1 English course in one semester",available departments (1).xlsx,Seoul National University,,
6,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,사회복지학과,Social Welfare,사회,Social Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://socialwelfare.snu.ac.kr,,Few classes are offered in English each semester,available departments (1).xlsx,Seoul National University,,
7,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,언론정보학과,Communication,사회,Social Sciences,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,https://communication.snu.ac.kr,,0~1 English course in one semester,available departments (1).xlsx,Seoul National University,,
8,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,수리과학부,Mathematical Sciences,자연,Natural Sciences,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,https://www.math.snu.ac.kr/,,,available departments (1).xlsx,Seoul National University,,
9,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,통계학과,Statistics,자연,Natural Sciences,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,https://stat.snu.ac.kr/en/,,,available departments (1).xlsx,Seoul National University,,
